correct_rate,response_time_mean,hint_requests,topic_switch_count,session_duration,level
0.55,4.07,6,7,29.1,intermediate
0.75,6.73,6,4,30.0,intermediate
0.75,7.09,2,5,30.0,advanced
0.5,9.34,7,5,14.2,intermediate
0.3,10.79,8,3,25.5,beginner
0.7,5.77,3,5,28.1,intermediate
0.55,12.35,3,5,17.1,beginner
0.3,13.29,5,9,28.2,beginner
0.5,9.4,8,2,23.3,beginner
0.7,7.22,1,1,30.0,intermediate
0.6,10.13,6,2,16.8,intermediate
0.55,13.17,3,2,27.3,intermediate
0.5,10.7,5,1,18.5,intermediate
0.7,10.22,1,4,27.0,advanced
0.3,7.64,4,5,30.0,intermediate
0.85,5.17,2,4,17.6,intermediate
0.55,7.57,4,3,15.6,intermediate
0.95,4.02,1,4,30.0,advanced
0.6,6.15,5,3,23.1,intermediate
0.55,11.84,4,4,30.0,intermediate
1.0,5.05,1,3,25.7,advanced
0.3,8.65,6,4,22.7,intermediate
0.2,13.96,5,7,25.3,intermediate
0.75,6.91,1,8,27.2,intermediate
0.45,11.89,2,9,12.0,intermediate
0.45,5.02,2,5,30.0,intermediate
0.65,8.42,2,4,24.4,intermediate
0.7,7.48,3,8,16.4,intermediate
0.3,16.68,9,5,21.5,beginner
0.85,4.67,2,4,29.3,advanced
0.65,3.08,4,1,30.0,intermediate
0.65,6.54,5,3,28.1,intermediate
0.5,8.85,2,3,21.7,intermediate
0.6,8.69,2,7,13.1,intermediate
0.7,18.52,5,4,24.6,intermediate
0.7,10.56,4,6,13.5,intermediate
0.7,5.68,1,3,30.0,advanced
0.55,8.48,3,3,19.0,intermediate
0.55,12.35,4,5,27.4,intermediate
0.7,4.6,1,7,23.0,advanced
0.5,8.54,3,4,20.1,intermediate
0.45,6.87,3,5,17.2,beginner
0.8,10.22,0,2,30.0,intermediate
0.4,14.13,10,5,16.6,beginner
0.65,5.74,1,4,29.3,intermediate
0.85,5.65,0,2,23.1,advanced
0.6,8.97,0,5,23.2,intermediate
0.75,5.57,0,0,26.6,intermediate
0.4,8.61,3,7,22.7,beginner
0.9,6.12,2,4,18.8,advanced
0.4,11.81,5,8,25.9,beginner
0.8,8.07,4,3,21.2,beginner
0.75,7.1,3,8,26.9,intermediate
0.45,5.97,9,6,22.4,beginner
0.65,9.28,0,4,26.5,intermediate
0.35,9.74,5,7,19.3,intermediate
0.55,6.97,1,0,19.5,intermediate
0.2,16.55,12,6,20.9,beginner
0.7,15.38,5,6,17.7,beginner
0.6,8.16,0,3,30.0,intermediate
0.3,19.24,9,6,18.5,beginner
0.65,9.2,2,4,13.8,intermediate
0.45,11.15,8,7,15.9,beginner
0.65,5.61,2,0,17.9,intermediate
0.5,6.93,4,1,29.9,intermediate
0.85,6.31,1,4,30.0,intermediate
0.55,7.3,5,4,22.1,beginner
0.45,10.77,6,3,23.5,beginner
1.0,3.92,1,3,26.7,advanced
0.35,5.93,6,5,26.8,beginner
0.7,12.39,4,4,25.8,intermediate
0.75,5.83,1,1,29.5,intermediate
0.35,7.25,2,3,21.2,intermediate
0.8,4.71,1,3,21.5,intermediate
0.75,7.54,1,5,29.8,intermediate
0.5,12.48,3,5,30.0,intermediate
0.5,7.16,2,2,30.0,intermediate
0.65,6.92,0,5,30.0,intermediate
0.25,19.21,6,4,20.7,intermediate
0.8,4.03,1,5,18.6,intermediate
0.6,16.24,2,0,18.5,intermediate
0.5,18.99,2,2,30.0,intermediate
0.6,2.74,4,1,13.9,intermediate
0.85,5.52,0,3,30.0,advanced
0.35,10.78,14,5,14.6,beginner
0.6,7.47,2,6,30.0,intermediate
0.6,6.83,9,2,23.7,intermediate
0.4,14.78,3,4,25.5,beginner
0.45,10.61,5,6,30.0,beginner
0.5,6.88,2,6,20.6,beginner
0.55,6.42,1,5,23.3,advanced
0.4,13.18,5,7,17.1,beginner
0.75,5.99,1,3,16.9,beginner
0.2,8.64,12,9,16.4,beginner
0.4,22.1,1,5,17.9,beginner
0.5,7.08,3,5,15.6,intermediate
0.55,8.14,2,8,22.2,intermediate
0.55,8.15,4,4,25.3,intermediate
0.65,9.98,2,6,18.4,intermediate
0.75,10.78,1,3,25.8,intermediate
0.35,17.35,7,3,27.5,beginner
0.45,5.77,3,4,13.7,intermediate
0.4,6.19,4,3,30.0,intermediate
0.65,7.3,4,4,19.5,beginner
0.55,7.9,3,4,24.5,intermediate
0.5,4.4,1,3,30.0,intermediate
0.4,11.44,2,3,30.0,intermediate
0.7,4.55,1,1,28.4,advanced
0.65,14.06,2,3,19.5,intermediate
0.8,9.84,1,2,23.0,intermediate
0.85,4.05,0,7,25.6,advanced
0.45,10.83,2,2,30.0,intermediate
0.6,4.64,1,8,22.7,intermediate
0.65,11.51,7,3,24.7,intermediate
0.15,9.17,6,2,15.1,intermediate
0.85,4.57,2,6,18.6,intermediate
0.85,5.9,0,6,25.9,intermediate
0.6,5.66,0,4,23.6,intermediate
0.55,7.75,2,2,21.8,intermediate
0.3,16.3,9,4,11.9,beginner
0.45,7.56,3,8,21.7,beginner
0.7,13.71,0,3,30.0,intermediate
0.3,7.65,6,1,15.3,beginner
0.15,26.53,11,5,24.0,beginner
0.55,5.49,3,3,5.0,intermediate
0.85,6.62,1,2,20.8,intermediate
0.55,8.31,1,4,10.7,intermediate
0.75,6.34,2,6,30.0,intermediate
0.8,7.04,3,6,30.0,advanced
0.6,11.86,0,1,18.9,intermediate
0.35,14.78,1,7,24.0,beginner
0.2,11.13,3,5,27.2,beginner
0.6,11.32,7,6,29.7,intermediate
0.35,9.48,5,1,17.8,beginner
0.65,4.84,0,6,12.1,intermediate
0.95,4.15,0,7,20.8,advanced
0.25,11.0,12,5,24.6,beginner
0.25,17.04,16,6,30.0,beginner
0.85,2.12,0,5,29.3,advanced
0.75,6.81,0,3,21.6,intermediate
0.55,16.87,3,3,30.0,beginner
0.85,7.05,2,7,30.0,advanced
0.95,4.15,1,2,20.5,advanced
0.65,5.12,4,4,22.9,intermediate
0.65,9.67,0,10,29.8,intermediate
0.55,3.83,4,2,22.9,intermediate
0.65,10.56,0,6,29.7,beginner
0.7,6.74,1,7,15.2,intermediate
0.6,16.47,4,3,14.7,intermediate
0.6,4.03,0,6,20.3,intermediate
0.5,13.17,1,1,20.8,intermediate
0.55,8.42,3,4,25.3,beginner
0.5,8.0,3,6,26.8,intermediate
0.75,4.54,0,3,30.0,intermediate
0.85,5.76,1,5,24.2,advanced
0.7,9.48,1,5,22.7,intermediate
0.65,14.7,3,1,19.9,intermediate
0.7,11.36,0,4,30.0,intermediate
0.55,6.56,4,4,30.0,intermediate
0.5,6.23,3,4,20.4,intermediate
0.6,5.36,3,8,30.0,intermediate
0.65,10.34,1,5,22.0,intermediate
0.45,6.21,6,3,30.0,intermediate
0.85,10.86,0,2,30.0,advanced
0.5,10.52,4,3,15.1,intermediate
0.75,7.41,4,2,29.1,intermediate
0.8,9.06,2,2,5.7,beginner
0.75,9.14,3,1,29.8,intermediate
0.65,8.32,5,7,17.0,intermediate
0.7,6.36,0,3,28.3,intermediate
0.25,16.21,8,5,24.6,beginner
0.75,5.61,1,5,30.0,advanced
0.7,5.11,1,5,30.0,intermediate
0.8,8.47,2,4,25.6,intermediate
0.3,13.18,4,6,17.2,beginner
0.6,7.77,0,4,25.3,advanced
0.5,9.5,6,7,14.5,beginner
0.55,5.5,2,3,22.3,beginner
0.65,14.47,4,4,22.4,advanced
0.9,9.23,0,3,22.7,advanced
0.4,19.68,13,9,8.5,beginner
0.45,7.8,2,2,15.4,intermediate
0.55,7.68,7,1,5.0,intermediate
0.65,9.84,1,6,24.5,advanced
0.65,7.76,3,4,25.4,intermediate
0.55,6.4,3,5,7.9,intermediate
0.6,16.92,3,5,24.6,intermediate
0.3,10.16,6,9,21.1,intermediate
0.7,12.96,3,7,18.1,intermediate
0.7,4.3,3,3,22.5,intermediate
0.65,11.74,3,3,28.6,beginner
0.7,15.24,1,6,18.8,advanced
0.75,5.41,2,5,27.9,advanced
0.6,6.48,2,5,27.1,intermediate
0.35,9.04,11,3,14.5,beginner
0.55,16.55,9,5,27.1,beginner
0.6,6.24,2,5,26.2,intermediate
0.6,7.96,3,1,22.3,beginner
1.0,2.61,0,5,30.0,advanced
0.35,18.46,7,2,27.6,intermediate
0.75,7.75,1,1,17.6,intermediate
0.75,6.54,1,9,23.3,advanced
0.75,4.5,0,5,30.0,intermediate
0.8,11.56,3,6,19.6,intermediate
0.5,8.38,7,4,22.9,intermediate
0.6,4.98,3,4,30.0,intermediate
0.65,4.4,4,4,27.8,intermediate
0.6,5.79,1,4,29.6,intermediate
0.8,3.25,2,7,30.0,advanced
0.65,5.22,2,5,25.9,intermediate
0.3,14.54,7,3,16.4,beginner
0.55,7.22,2,4,26.4,intermediate
0.85,7.48,2,4,23.2,intermediate
0.4,7.96,4,6,19.0,beginner
0.5,10.22,1,6,30.0,beginner
0.5,17.6,0,2,20.7,intermediate
0.4,8.5,3,3,30.0,intermediate
0.65,7.12,2,2,27.7,advanced
0.7,5.16,1,0,22.1,intermediate
0.5,16.84,5,4,11.3,beginner
0.5,5.71,1,6,30.0,intermediate
0.8,8.37,2,3,26.7,advanced
0.7,5.97,1,4,12.5,intermediate
0.5,11.07,5,3,29.0,beginner
0.5,13.76,11,6,21.1,beginner
0.45,7.88,1,4,17.2,intermediate
0.75,8.9,2,3,30.0,intermediate
0.7,6.2,4,1,8.6,intermediate
0.45,14.58,3,6,16.9,beginner
0.65,7.41,2,3,21.7,intermediate
0.5,7.44,2,6,30.0,advanced
0.35,8.8,3,7,30.0,intermediate
0.75,7.29,3,9,23.5,intermediate
0.45,8.94,6,2,22.6,beginner
0.95,5.11,0,4,30.0,intermediate
0.45,9.83,3,4,22.4,intermediate
0.5,8.25,9,3,24.9,intermediate
0.95,5.06,1,5,20.3,advanced
1.0,4.52,0,6,30.0,advanced
0.85,4.49,0,8,22.8,advanced
0.9,4.88,1,3,29.5,advanced
0.7,5.47,0,3,25.7,advanced
0.1,29.05,5,10,20.5,beginner
0.25,19.85,9,8,16.8,beginner
0.35,12.26,4,6,22.6,intermediate
0.8,11.81,1,4,30.0,intermediate
0.3,8.41,13,9,30.0,beginner
0.5,4.12,4,5,21.0,intermediate
0.7,7.64,4,6,20.5,intermediate
0.55,5.71,10,4,17.9,intermediate
0.55,9.75,7,3,30.0,beginner
0.6,8.15,4,4,25.2,intermediate
0.45,13.4,9,3,29.0,beginner
0.7,4.71,1,2,29.3,intermediate
0.8,7.54,1,4,30.0,intermediate
0.5,8.04,3,2,22.5,intermediate
0.5,8.57,1,6,17.8,intermediate
0.5,6.1,4,4,30.0,intermediate
0.7,12.66,2,5,29.6,intermediate
0.6,8.27,2,5,26.1,intermediate
0.65,15.78,1,3,30.0,intermediate
0.25,9.93,9,5,22.9,beginner
0.9,6.79,0,4,30.0,advanced
0.4,11.3,6,3,22.3,beginner
0.85,5.65,0,6,30.0,advanced
0.5,15.91,8,4,23.2,beginner
0.3,8.9,2,5,20.2,intermediate
0.95,2.66,2,6,24.2,intermediate
0.5,3.83,4,3,18.8,beginner
0.55,14.52,4,5,24.3,intermediate
0.75,10.68,1,4,22.5,intermediate
0.5,17.08,2,2,25.8,intermediate
0.35,10.17,4,4,24.3,intermediate
0.8,4.26,1,5,26.8,intermediate
0.8,5.35,1,3,27.5,advanced
0.6,8.63,5,2,20.0,intermediate
0.55,5.58,3,3,22.4,intermediate
0.8,11.66,2,7,15.7,intermediate
0.55,17.46,3,3,23.3,intermediate
0.4,16.55,3,3,13.3,beginner
0.95,5.11,1,6,28.4,advanced
0.9,3.9,1,2,22.0,advanced
0.8,9.88,2,1,14.5,intermediate
0.5,8.22,1,6,30.0,intermediate
0.4,10.69,10,4,19.3,intermediate
0.6,8.89,1,2,30.0,intermediate
0.85,4.64,1,2,23.8,intermediate
0.85,6.39,2,4,30.0,intermediate
0.55,4.97,1,3,16.8,beginner
0.25,19.85,14,7,20.5,beginner
0.85,4.63,1,5,21.8,advanced
0.6,13.62,2,1,30.0,intermediate
0.9,5.05,1,4,25.8,advanced
0.3,13.52,10,5,24.1,beginner
0.55,5.86,3,6,25.7,intermediate
0.35,16.67,7,6,19.8,beginner
0.7,5.03,2,3,28.5,intermediate
0.6,8.32,3,6,30.0,beginner
0.5,10.82,5,4,25.4,beginner
0.55,7.45,4,2,25.9,advanced
0.55,4.65,2,6,26.6,intermediate
0.45,8.41,4,5,30.0,intermediate
0.7,9.08,4,7,22.8,intermediate
0.75,5.7,2,5,14.6,intermediate
0.75,6.15,1,3,19.0,intermediate
0.35,13.71,9,11,13.7,beginner
0.75,8.71,4,6,17.6,advanced
0.15,7.6,4,4,16.3,intermediate
0.65,6.16,2,3,26.0,intermediate
0.75,12.15,4,6,24.9,intermediate
0.35,8.96,12,7,21.3,beginner
0.9,3.71,0,6,25.1,advanced
0.85,3.95,0,2,30.0,intermediate
0.5,15.72,3,5,24.2,beginner
0.65,8.15,2,2,30.0,intermediate
0.45,6.08,1,2,28.9,intermediate
0.55,7.94,6,2,22.2,intermediate
0.85,3.97,1,4,30.0,intermediate
0.75,5.17,1,2,26.3,intermediate
0.4,6.0,2,10,26.9,beginner
0.9,3.16,2,6,30.0,advanced
0.4,15.79,2,3,21.5,intermediate
0.35,5.42,5,3,25.8,intermediate
0.3,14.07,2,4,19.8,beginner
0.45,6.53,5,2,18.1,advanced
0.25,15.15,8,4,7.9,intermediate
0.55,9.47,11,4,15.3,beginner
0.75,7.39,0,7,26.0,intermediate
0.35,11.34,2,4,27.7,beginner
0.4,24.83,6,5,26.1,beginner
0.9,7.09,0,4,25.2,intermediate
0.55,8.12,2,3,18.0,intermediate
0.85,7.2,0,4,25.9,advanced
0.65,16.03,2,5,18.6,intermediate
0.5,5.14,4,5,10.2,intermediate
0.6,5.93,2,4,14.8,intermediate
0.25,9.74,8,4,29.8,intermediate
0.85,5.4,2,8,30.0,intermediate
0.65,8.02,4,10,27.5,intermediate
0.95,2.5,0,6,29.7,advanced
0.7,13.15,1,3,15.6,intermediate
0.65,5.76,5,1,21.6,beginner
0.6,7.53,5,2,27.6,intermediate
0.55,11.6,4,1,28.9,intermediate
0.3,12.44,7,5,24.3,beginner
0.7,5.56,1,3,30.0,intermediate
0.85,3.33,0,2,30.0,advanced
0.55,8.47,4,4,20.4,intermediate
0.85,4.42,0,7,30.0,advanced
0.55,9.56,2,5,11.0,intermediate
0.85,3.28,2,3,22.8,intermediate
0.35,10.8,3,4,25.1,intermediate
0.95,4.48,0,3,30.0,advanced
0.6,8.85,1,2,22.6,intermediate
0.75,12.66,3,4,21.4,intermediate
0.4,8.65,5,6,30.0,intermediate
0.5,6.71,2,5,20.1,intermediate
0.75,6.37,1,2,18.2,intermediate
0.75,5.67,4,2,30.0,intermediate
0.85,5.25,1,4,30.0,advanced
0.9,4.7,1,4,30.0,intermediate
0.5,3.52,0,3,26.1,intermediate
0.8,4.94,0,3,18.2,intermediate
0.5,9.17,1,1,24.4,intermediate
0.85,5.52,0,6,18.5,intermediate
0.5,18.81,10,3,21.7,beginner
0.25,25.74,7,6,23.8,beginner
0.45,12.9,2,3,28.6,intermediate
0.8,8.63,1,5,26.9,intermediate
0.75,9.06,4,3,29.7,intermediate
0.3,21.9,11,4,15.1,beginner
0.5,12.29,1,3,30.0,intermediate
0.45,14.04,3,3,26.1,beginner
0.75,7.26,0,6,22.1,intermediate
0.6,6.88,0,5,27.9,advanced
0.45,8.26,5,4,30.0,intermediate
0.4,7.71,3,4,23.8,intermediate
0.3,19.93,9,9,13.1,beginner
0.8,5.16,2,3,26.7,intermediate
0.15,11.13,8,6,23.9,beginner
0.65,3.08,2,7,20.1,intermediate
0.75,9.68,1,2,21.5,intermediate
0.8,5.55,1,1,29.6,advanced
0.25,14.33,6,3,25.3,beginner
0.7,13.05,3,8,30.0,intermediate
0.7,7.48,1,2,29.5,intermediate
0.65,10.32,1,7,18.9,advanced
0.65,5.78,1,3,30.0,intermediate
0.7,15.39,3,6,30.0,intermediate
0.55,10.95,4,2,12.5,intermediate
0.55,12.31,7,9,14.8,intermediate
0.8,11.5,1,8,22.2,advanced
0.65,4.09,3,4,30.0,intermediate
0.6,6.74,1,3,10.3,intermediate
0.4,21.51,6,6,19.1,beginner
0.75,4.29,4,6,28.4,intermediate
0.8,6.84,0,2,10.0,advanced
0.65,8.47,2,2,29.6,intermediate
0.4,20.21,4,2,27.2,intermediate
0.75,3.75,1,2,20.7,advanced
0.6,13.4,3,5,17.5,intermediate
0.55,6.69,1,9,18.7,intermediate
0.85,6.19,1,2,8.8,intermediate
0.45,6.47,4,4,20.2,intermediate
0.75,5.14,4,7,25.9,intermediate
0.6,7.61,1,2,18.3,intermediate
0.45,4.98,0,7,30.0,intermediate
0.9,7.13,1,3,27.8,advanced
0.9,4.55,2,7,28.4,advanced
0.6,6.06,2,6,20.3,intermediate
0.8,4.75,1,3,30.0,advanced
0.65,7.22,2,4,30.0,intermediate
0.6,7.41,1,4,21.4,intermediate
0.3,9.46,3,2,27.2,intermediate
0.75,11.13,4,5,27.9,intermediate
0.7,11.28,4,4,26.8,intermediate
0.45,7.66,3,4,30.0,intermediate
0.65,5.1,2,4,20.4,intermediate
0.65,7.5,1,3,22.3,intermediate
0.75,8.07,0,2,20.7,intermediate
0.6,3.74,3,0,30.0,intermediate
0.75,4.92,0,5,23.9,intermediate
0.6,7.32,7,6,18.4,intermediate
0.65,8.71,8,3,30.0,intermediate
0.8,4.38,0,4,30.0,advanced
0.5,15.73,9,2,18.4,beginner
0.25,7.9,13,5,11.1,beginner
0.5,4.97,6,3,30.0,intermediate
0.7,7.73,4,3,26.1,intermediate
0.55,8.46,5,1,25.5,intermediate
0.25,7.21,5,5,21.2,beginner
0.9,5.26,1,1,21.0,intermediate
0.15,9.53,5,2,18.8,beginner
0.9,4.52,0,2,30.0,intermediate
0.8,5.77,0,5,24.6,advanced
0.35,9.47,6,3,23.2,beginner
0.35,19.03,7,9,21.1,beginner
0.35,9.07,0,2,18.0,intermediate
0.5,5.59,3,3,30.0,intermediate
1.0,4.05,1,4,30.0,advanced
0.75,6.83,1,5,27.7,advanced
0.5,14.94,2,8,25.6,beginner
0.45,8.87,4,2,10.6,beginner
0.4,13.78,3,3,18.7,intermediate
0.6,7.09,1,5,16.0,intermediate
1.0,7.61,1,6,29.6,advanced
0.45,14.6,7,4,24.7,intermediate
0.45,12.18,8,5,21.8,beginner
0.45,9.87,5,9,28.5,intermediate
0.4,16.9,7,5,10.1,beginner
0.9,6.25,2,7,20.8,intermediate
0.65,15.63,2,5,25.8,intermediate
0.3,9.98,2,5,23.9,intermediate
0.7,6.67,1,4,16.5,intermediate
0.8,7.46,4,5,30.0,intermediate
0.8,4.0,0,4,30.0,advanced
0.85,6.02,3,2,30.0,advanced
0.5,7.36,5,6,13.2,intermediate
0.3,19.54,9,3,20.6,beginner
0.9,4.95,3,6,26.3,intermediate
0.85,4.97,0,2,26.8,advanced
0.9,9.63,1,6,30.0,intermediate
0.4,4.23,5,1,22.3,intermediate
0.9,13.76,0,2,30.0,intermediate
0.35,11.22,6,4,24.5,beginner
0.7,6.11,1,8,28.4,intermediate
0.5,11.92,1,1,27.8,intermediate
0.75,8.18,2,2,30.0,intermediate
0.45,9.88,5,6,28.4,intermediate
0.9,7.97,2,3,26.6,intermediate
0.6,8.65,1,2,20.9,intermediate
0.6,17.7,1,1,15.7,intermediate
0.3,10.52,3,3,8.6,intermediate
0.7,13.88,4,5,26.2,intermediate
0.75,9.12,0,3,23.3,intermediate
0.75,3.03,1,4,24.9,advanced
0.4,28.09,7,4,27.2,beginner
0.9,4.04,0,3,27.5,advanced
0.3,18.72,6,2,30.0,beginner
0.2,14.37,12,2,15.6,beginner
0.5,13.37,3,8,17.0,intermediate
0.3,8.56,3,4,13.8,beginner
0.75,11.42,3,3,27.2,beginner
0.75,7.83,5,10,30.0,beginner
0.55,12.13,1,1,21.6,intermediate
0.8,8.87,2,8,18.0,intermediate
0.3,13.82,6,3,30.0,beginner
0.55,4.22,1,3,14.3,intermediate
0.65,7.97,4,5,29.8,intermediate
0.5,15.14,8,4,16.3,beginner
0.45,15.28,9,3,21.5,beginner
0.85,7.44,1,2,30.0,advanced
0.65,6.81,2,5,27.1,intermediate
0.7,7.22,4,1,23.3,intermediate
0.85,10.99,1,3,30.0,intermediate
0.35,4.9,7,11,23.1,beginner
0.8,8.92,2,4,30.0,intermediate
0.75,7.17,2,8,13.7,intermediate
0.65,5.41,2,4,14.3,intermediate
0.65,10.22,4,2,28.9,intermediate
0.8,11.52,2,3,24.4,intermediate
0.7,10.24,1,7,29.8,intermediate
0.55,8.58,7,7,16.4,intermediate
0.7,10.77,2,5,24.4,intermediate
0.8,12.09,1,3,25.8,intermediate
0.25,12.07,8,3,16.9,beginner
0.4,7.64,5,6,23.7,intermediate
0.4,7.28,4,3,14.7,beginner
0.65,12.63,3,4,25.0,beginner
0.4,10.18,5,4,30.0,beginner
0.6,5.57,3,5,16.5,beginner
0.5,4.59,5,6,15.9,intermediate
0.85,6.3,0,6,30.0,intermediate
0.9,4.84,1,2,18.8,advanced
0.25,12.19,4,3,26.4,beginner
0.55,13.24,2,11,23.7,intermediate
0.65,4.74,2,2,22.1,intermediate
0.8,6.8,2,1,30.0,intermediate
0.85,5.42,2,3,30.0,advanced
0.95,4.72,0,4,30.0,advanced
0.9,8.34,0,3,14.4,advanced
0.4,6.8,5,3,25.7,beginner
0.55,11.45,7,1,16.2,intermediate
0.65,10.67,3,6,23.3,intermediate
0.7,7.67,5,2,23.8,intermediate
0.65,8.48,2,2,30.0,intermediate
0.4,10.61,4,4,21.3,intermediate
0.9,5.66,1,5,19.5,intermediate
0.75,10.27,1,3,30.0,intermediate
0.35,12.56,4,4,26.2,intermediate
0.4,9.1,3,9,24.5,beginner
0.45,16.2,7,6,29.9,beginner
0.55,10.94,6,6,30.0,intermediate
0.65,7.75,1,4,19.5,intermediate
0.7,4.21,0,6,16.7,intermediate
0.55,8.6,2,1,28.1,intermediate
0.75,8.07,0,3,22.9,intermediate
0.55,6.25,5,6,21.7,intermediate
0.5,7.86,2,5,16.3,intermediate
0.4,5.74,3,4,26.1,intermediate
0.6,12.18,3,3,24.6,intermediate
0.75,7.04,0,7,24.7,intermediate
0.85,3.99,5,2,16.7,intermediate
0.75,7.63,1,4,30.0,intermediate
0.5,7.79,3,3,25.6,intermediate
0.6,11.87,5,2,28.9,beginner
0.25,13.47,16,5,5.7,beginner
0.65,7.37,2,5,22.6,beginner
0.75,4.17,1,1,23.0,advanced
0.6,5.94,0,3,25.2,intermediate
0.55,10.69,6,8,27.2,beginner
0.75,7.06,1,3,27.7,advanced
0.5,9.73,2,6,21.9,intermediate
0.5,7.81,1,1,23.0,intermediate
0.8,4.52,1,2,18.5,advanced
0.35,24.2,6,1,16.6,beginner
0.5,7.76,5,1,28.7,intermediate
0.7,7.81,4,4,19.5,intermediate
0.25,40.81,6,5,26.8,beginner
0.3,9.87,2,7,28.4,intermediate
0.25,8.89,7,6,24.2,beginner
0.2,19.56,9,6,20.9,beginner
0.2,9.53,9,7,17.2,beginner
0.5,10.83,2,5,23.2,intermediate
0.3,12.96,8,7,23.1,beginner
0.3,9.93,5,5,8.1,beginner
0.9,8.23,1,6,30.0,advanced
0.4,12.25,2,3,19.0,intermediate
0.6,11.66,3,4,23.2,intermediate
0.6,11.05,3,5,22.1,beginner
0.5,7.37,1,3,23.1,intermediate
0.45,10.96,1,5,15.3,intermediate
0.7,9.96,1,3,26.7,intermediate
0.6,12.56,7,7,24.1,beginner
0.95,8.73,0,5,16.4,advanced
0.9,7.04,1,0,19.8,advanced
0.2,12.98,10,1,25.9,beginner
0.45,11.4,7,8,26.0,beginner
0.45,11.26,7,5,23.3,beginner
0.65,4.32,2,7,21.4,intermediate
0.3,12.11,7,8,24.5,beginner
0.85,8.58,1,1,16.8,intermediate
0.55,6.99,2,4,23.1,intermediate
0.35,7.96,4,2,17.2,intermediate
0.4,9.64,1,2,21.5,intermediate
0.95,6.19,0,5,22.3,advanced
0.35,13.2,2,4,26.2,beginner
0.45,10.68,4,5,24.6,intermediate
0.8,4.01,0,3,22.4,intermediate
0.95,7.14,0,9,30.0,advanced
0.7,6.39,1,4,19.8,intermediate
0.8,6.06,2,6,25.9,intermediate
0.35,9.92,10,4,17.4,beginner
0.8,6.36,2,4,29.0,advanced
0.55,18.96,12,0,25.1,intermediate
0.65,12.43,2,7,30.0,intermediate
0.8,7.31,2,5,26.6,advanced
0.35,9.04,6,3,5.0,intermediate
0.55,10.05,1,6,21.3,intermediate
0.55,7.37,2,7,30.0,intermediate
0.1,13.7,15,7,16.9,beginner
0.65,9.74,2,4,11.8,intermediate
0.65,7.47,1,2,26.0,beginner
0.35,14.97,8,6,22.5,beginner
0.75,5.2,1,2,23.9,advanced
0.55,10.75,3,2,21.8,intermediate
0.7,5.85,1,3,19.7,intermediate
0.65,8.47,2,4,28.8,intermediate
0.6,5.12,0,4,25.5,intermediate
0.8,5.58,0,2,18.4,intermediate
0.8,5.73,0,1,25.2,advanced
0.9,3.19,0,5,24.3,advanced
0.6,13.25,7,3,30.0,intermediate
0.6,5.45,4,3,29.8,intermediate
0.6,5.99,0,3,23.7,intermediate
0.55,11.4,1,2,25.2,intermediate
0.7,6.18,1,1,30.0,intermediate
0.55,8.68,3,8,21.7,intermediate
0.25,7.11,4,8,26.5,intermediate
0.6,9.19,1,1,30.0,intermediate
0.6,10.42,4,3,21.3,intermediate
0.8,8.47,2,1,30.0,intermediate
0.2,13.81,3,2,29.1,beginner
0.35,14.9,11,6,20.4,beginner
0.65,5.62,6,0,22.8,intermediate
0.5,6.42,2,6,24.9,intermediate
0.75,11.83,2,3,23.0,intermediate
0.35,11.71,3,2,18.3,intermediate
0.7,4.71,0,2,29.7,intermediate
0.55,9.46,3,4,16.5,intermediate
0.5,7.64,2,2,21.5,intermediate
0.7,3.73,1,6,25.2,advanced
0.65,10.31,4,4,14.2,intermediate
0.6,6.53,4,6,28.4,intermediate
0.6,6.13,4,4,22.0,beginner
0.8,3.66,3,4,30.0,advanced
0.55,4.32,3,4,23.1,intermediate
0.45,8.01,2,3,20.4,advanced
0.75,7.82,1,6,18.5,intermediate
0.25,8.83,7,8,20.8,beginner
0.45,16.45,10,8,20.0,beginner
0.6,6.47,2,2,30.0,intermediate
0.4,10.37,1,5,23.9,intermediate
0.35,10.98,6,6,30.0,beginner
0.45,6.49,2,3,26.2,intermediate
0.5,11.64,7,4,15.2,intermediate
0.4,6.27,4,4,15.9,intermediate
0.8,8.17,1,3,28.7,intermediate
0.55,11.83,14,4,11.7,beginner
0.7,12.62,3,1,26.4,intermediate
0.55,7.62,4,2,28.8,intermediate
0.9,6.03,0,5,30.0,advanced
0.65,4.72,1,3,19.9,intermediate
0.6,6.96,4,3,28.7,intermediate
0.7,7.28,2,3,27.9,intermediate
0.25,19.47,9,7,16.2,beginner
0.6,12.02,0,1,24.6,intermediate
0.35,10.3,5,5,24.8,intermediate
0.7,12.61,0,4,21.6,intermediate
0.7,5.47,2,5,28.2,advanced
0.8,9.91,2,3,30.0,advanced
0.65,5.98,3,4,29.5,intermediate
0.5,12.53,5,2,21.9,beginner
0.7,3.84,1,7,24.7,intermediate
0.95,3.46,1,5,24.6,advanced
0.55,10.43,6,5,20.1,intermediate
0.6,6.43,1,5,12.7,beginner
0.65,8.6,4,1,26.2,intermediate
0.65,11.1,1,3,28.0,intermediate
0.3,7.25,2,5,22.9,intermediate
0.85,3.91,2,7,22.0,advanced
0.7,6.15,4,5,25.2,intermediate
0.85,3.98,0,3,30.0,intermediate
0.75,6.55,1,2,30.0,intermediate
0.75,6.99,3,3,25.3,intermediate
0.7,5.94,3,3,30.0,beginner
0.85,13.13,2,8,30.0,intermediate
